,de_hyd_state,cycle_number,time_start,time_end,cycle_duration
0,Dehydrogenated,0.0,2022-03-31 13:41:43.133000+02:00,2022-04-19 15:35:42.436000+02:00,"19 days, 1:53:59.303000"
1,Hydrogenated,0.5,2022-04-19 15:50:42.444000+02:00,2022-05-04 10:24:27.660000+02:00,"14 days, 18:33:45.216000"
2,Dehydrogenated,1.0,2022-05-04 10:39:27.710000+02:00,2022-05-04 12:54:27.930000+02:00,2:15:00.220000
3,Hydrogenated,1.5,2022-05-04 13:09:27.770000+02:00,2022-05-04 15:09:27.151000+02:00,1:59:59.381000
4,Dehydrogenated,2.0,2022-05-04 15:24:27.146000+02:00,2022-05-04 17:39:27.181000+02:00,2:15:00.035000
5,Hydrogenated,2.5,2022-05-04 17:54:27.175000+02:00,2022-05-06 09:55:31.707000+02:00,"1 day, 16:01:04.532000"
6,Dehydrogenated,3.0,2022-05-06 10:10:31.734000+02:00,2022-05-06 13:25:31.780000+02:00,3:15:00.046000
7,Hydrogenated,3.5,2022-05-06 13:40:31.780000+02:00,2022-05-06 16:40:31.773000+02:00,2:59:59.993000
8,Dehydrogenated,4.0,2022-05-06 16:55:31.770000+02:00,2022-05-06 19:55:31.831000+02:00,3:00:00.061000
9,Hydrogenated,4.5,2022-05-06 20:10:31.817000+02:00,2022-05-09 09:10:14.667000+02:00,"2 days, 12:59:42.850000"
10,Dehydrogenated,5.0,2022-05-09 09:25:14.661000+02:00,2022-05-09 13:40:14.674000+02:00,4:15:00.013000
11,Hydrogenated,5.5,2022-05-09 13:55:14.688000+02:00,2022-05-09 17:55:14.744000+02:00,4:00:00.056000
12,Dehydrogenated,6.0,2022-05-09 18:10:14.728000+02:00,2022-05-09 22:10:14.764000+02:00,4:00:00.036000
13,Hydrogenated,6.5,2022-05-09 22:25:14.763000+02:00,2022-05-10 11:19:29.349000+02:00,12:54:14.586000
14,Dehydrogenated,7.0,2022-05-10 11:34:29.347000+02:00,2022-05-10 15:49:29.346000+02:00,4:14:59.999000
15,Hydrogenated,7.5,2022-05-10 16:04:29.338000+02:00,2022-05-10 20:04:29.400000+02:00,4:00:00.062000
16,Dehydrogenated,8.0,2022-05-10 20:19:29.394000+02:00,2022-05-11 00:19:29.478000+02:00,4:00:00.084000
17,Hydrogenated,8.5,2022-05-11 00:34:29.476000+02:00,2022-05-11 04:34:29.505000+02:00,4:00:00.029000
18,Dehydrogenated,9.0,2022-05-11 04:49:29.493000+02:00,2022-05-11 09:00:39.529000+02:00,4:11:10.036000
19,Hydrogenated,9.5,2022-05-11 09:15:39.536000+02:00,2022-05-11 13:15:39.571000+02:00,4:00:00.035000
20,Dehydrogenated,10.0,2022-05-11 13:30:39.579000+02:00,2022-05-11 17:45:39.643000+02:00,4:15:00.064000
21,Hydrogenated,10.5,2022-05-11 18:00:39.637000+02:00,2022-05-11 22:00:39.666000+02:00,4:00:00.029000
22,Dehydrogenated,11.0,2022-05-11 22:15:39.681000+02:00,2022-05-12 02:15:39.738000+02:00,4:00:00.057000
23,Hydrogenated,11.5,2022-05-12 02:30:39.727000+02:00,2022-05-12 04:45:39.750000+02:00,2:15:00.023000
24,Dehydrogenated,12.0,2022-05-12 10:23:30.808000+02:00,2022-05-12 11:01:08.849000+02:00,0:37:38.041000
25,Hydrogenated,12.5,2022-05-12 11:16:08.844000+02:00,2022-05-12 15:16:08.851000+02:00,4:00:00.007000
26,Dehydrogenated,13.0,2022-05-12 15:31:08.847000+02:00,2022-05-12 19:46:08.895000+02:00,4:15:00.048000
27,Hydrogenated,13.5,2022-05-12 20:01:08.898000+02:00,2022-05-13 00:01:08.951000+02:00,4:00:00.053000
28,Dehydrogenated,14.0,2022-05-13 00:16:08.947000+02:00,2022-05-13 04:16:08.973000+02:00,4:00:00.026000
29,Hydrogenated,14.5,2022-05-13 04:31:08.994000+02:00,2022-05-13 08:30:39.430000+02:00,3:59:30.436000
30,Dehydrogenated,15.0,2022-05-13 08:45:39.380000+02:00,2022-05-13 12:58:56.108000+02:00,4:13:16.728000
31,Hydrogenated,15.5,2022-05-13 13:13:56.106000+02:00,2022-05-13 17:13:56.211000+02:00,4:00:00.105000
32,Dehydrogenated,16.0,2022-05-13 17:28:56.216000+02:00,2022-05-13 21:43:56.349000+02:00,4:15:00.133000
33,Hydrogenated,16.5,2022-05-13 21:58:56.343000+02:00,2022-05-16 13:13:15.493000+02:00,"2 days, 15:14:19.150000"
34,Dehydrogenated,17.0,2022-05-16 13:28:15.557000+02:00,2022-05-16 17:41:29.605000+02:00,4:13:14.048000
35,Hydrogenated,17.5,2022-05-16 17:56:29.555000+02:00,2022-05-16 21:56:29.634000+02:00,4:00:00.079000
36,Dehydrogenated,18.0,2022-05-16 22:11:29.635000+02:00,2022-05-17 02:11:29.648000+02:00,4:00:00.013000
37,Hydrogenated,18.5,2022-05-17 02:26:29.653000+02:00,2022-05-17 06:30:39.686000+02:00,4:04:10.033000
38,Dehydrogenated,19.0,2022-05-17 06:45:39.692000+02:00,2022-05-17 11:00:39.760000+02:00,4:15:00.068000
39,Hydrogenated,19.5,2022-05-17 11:15:39.758000+02:00,2022-05-17 15:15:39.783000+02:00,4:00:00.025000
40,Dehydrogenated,20.0,2022-05-17 15:30:39.777000+02:00,2022-05-17 19:30:39.834000+02:00,4:00:00.057000
41,Hydrogenated,20.5,2022-05-17 19:45:39.831000+02:00,2022-05-17 23:45:39.924000+02:00,4:00:00.093000
42,Dehydrogenated,21.0,2022-05-18 00:00:39.915000+02:00,2022-05-18 04:15:39.928000+02:00,4:15:00.013000
43,Hydrogenated,21.5,2022-05-18 04:30:39.931000+02:00,2022-05-18 08:30:38.993000+02:00,3:59:59.062000
44,Dehydrogenated,22.0,2022-05-18 08:45:38.994000+02:00,2022-05-18 13:00:39.580000+02:00,4:15:00.586000
45,Hydrogenated,22.5,2022-05-18 13:15:39.480000+02:00,2022-05-18 17:15:39.690000+02:00,4:00:00.210000
46,Dehydrogenated,23.0,2022-05-18 17:30:39.640000+02:00,2022-05-18 21:30:39.127000+02:00,3:59:59.487000
47,Hydrogenated,23.5,2022-05-18 21:45:39.127000+02:00,2022-05-19 01:45:39.171000+02:00,4:00:00.044000
48,Dehydrogenated,24.0,2022-05-19 02:00:39.170000+02:00,2022-05-19 06:15:39.193000+02:00,4:15:00.023000
49,Hydrogenated,24.5,2022-05-19 06:30:39.247000+02:00,2022-05-19 10:30:39.253000+02:00,4:00:00.006000
50,Dehydrogenated,25.0,2022-05-19 10:45:39.242000+02:00,2022-05-19 15:00:39.300000+02:00,4:15:00.058000
51,Hydrogenated,25.5,2022-05-19 15:15:39.298000+02:00,2022-05-19 19:15:39.347000+02:00,4:00:00.049000
52,Dehydrogenated,26.0,2022-05-19 19:30:39.394000+02:00,2022-05-19 23:30:39.407000+02:00,4:00:00.013000
53,Hydrogenated,26.5,2022-05-19 23:45:39.398000+02:00,2022-05-20 03:45:39.450000+02:00,4:00:00.052000
54,Dehydrogenated,27.0,2022-05-20 04:00:39.458000+02:00,2022-05-20 08:15:39.496000+02:00,4:15:00.038000
55,Hydrogenated,27.5,2022-05-20 08:30:39.481000+02:00,2022-05-20 12:30:39.579000+02:00,4:00:00.098000
56,Dehydrogenated,28.0,2022-05-20 12:45:39.569000+02:00,2022-05-20 17:00:39.598000+02:00,4:15:00.029000
57,Hydrogenated,28.5,2022-05-20 17:15:39.591000+02:00,2022-05-20 21:15:39.637000+02:00,4:00:00.046000
58,Dehydrogenated,29.0,2022-05-20 21:30:39.644000+02:00,2022-05-21 01:30:39.678000+02:00,4:00:00.034000
59,Hydrogenated,29.5,2022-05-21 01:45:39.718000+02:00,2022-05-21 05:45:39.735000+02:00,4:00:00.017000
60,Dehydrogenated,30.0,2022-05-21 06:00:39.730000+02:00,2022-05-21 10:15:39.797000+02:00,4:15:00.067000
61,Hydrogenated,30.5,2022-05-21 10:30:39.784000+02:00,2022-05-21 14:30:39.826000+02:00,4:00:00.042000
62,Dehydrogenated,31.0,2022-05-21 14:45:39.833000+02:00,2022-05-21 19:00:39.917000+02:00,4:15:00.084000
63,Hydrogenated,31.5,2022-05-21 19:15:39.906000+02:00,2022-05-21 23:15:39.906000+02:00,4:00:00
64,Dehydrogenated,32.0,2022-05-21 23:30:39.925000+02:00,2022-05-22 03:30:39.961000+02:00,4:00:00.036000
65,Hydrogenated,32.5,2022-05-22 03:45:39.961000+02:00,2022-05-22 07:45:39.120000+02:00,3:59:59.159000
